sceneName,sceneVersion,sceneStart,sceneEnd,sceneDuration,sceneTeoricDuration,stim0_position_xy,stim1_position_xy,stim0_contrastValue,stim1_contrastValue,correctValue,response,isCorrect
first,449,735.4752,736.0252,0.5500,0.55,(275.0;0.0),(-275.0;0.0),0.0323,0.0088,1,1,1
first,450,736.7252,737.1753,0.4500,0.45000002,(275.0;0.0),(-275.0;0.0),0.0671,0.0,1,1,1
first,451,737.8753,738.3087,0.4333,0.43333337,(275.0;0.0),(-275.0;0.0),0.2421,0.05,1,1,1
first,452,739.0087,739.5921,0.5834,0.5833334,(-275.0;0.0),(275.0;0.0),0.4582,0.45,0,1,0
first,453,740.2923,740.9586,0.6663,0.6666667,(275.0;0.0),(-275.0;0.0),0.017,0.0088,1,1,1
first,454,741.6591,742.1590,0.5000,0.5,(-275.0;0.0),(275.0;0.0),0.0582,0.05,0,0,1
first,455,742.8590,743.3090,0.4500,0.45000002,(275.0;0.0),(-275.0;0.0),0.0759,0.0088,1,1,1
first,456,744.0092,744.4591,0.4499,0.45000002,(275.0;0.0),(-275.0;0.0),0.0582,0.05,1,0,0
first,457,745.1591,745.5926,0.4335,0.43333337,(275.0;0.0),(-275.0;0.0),0.6,0.05,1,1,1
first,458,746.2925,746.8259,0.5334,0.53333336,(275.0;0.0),(-275.0;0.0),0.2421,0.05,1,1,1
first,459,747.5258,747.9925,0.4667,0.4666667,(275.0;0.0),(-275.0;0.0),0.75,0.2,1,1,1
first,460,748.6927,749.1927,0.5000,0.5,(-275.0;0.0),(275.0;0.0),0.1921,0.0,0,0,1
first,461,749.8927,750.7426,0.8499,0.85,(275.0;0.0),(-275.0;0.0),0.0838,0.0167,1,1,1
first,462,751.4428,751.8927,0.4499,0.45000002,(275.0;0.0),(-275.0;0.0),0.2009,0.0088,1,1,1
first,463,752.5929,752.9930,0.4001,0.40000004,(275.0;0.0),(-275.0;0.0),0.1171,0.05,1,1,1
first,464,753.6930,754.1096,0.4166,0.4166667,(-275.0;0.0),(275.0;0.0),0.0735,0.05,0,0,1
first,465,754.8096,755.5597,0.7500,0.75000006,(-275.0;0.0),(275.0;0.0),0.2671,0.2,0,0,1
first,466,756.2597,756.8264,0.5667,0.5666667,(-275.0;0.0),(275.0;0.0),0.001,0.0,0,0,1
first,467,757.5265,757.9765,0.4501,0.45000002,(275.0;0.0),(-275.0;0.0),0.1171,0.05,1,0,0
first,468,758.6765,759.3767,0.7001,0.70000005,(275.0;0.0),(-275.0;0.0),0.001,0.0,1,1,1
first,469,760.0766,760.7267,0.6501,0.65000004,(-275.0;0.0),(275.0;0.0),0.4582,0.45,0,0,1
first,470,761.4267,762.1934,0.7667,0.7666667,(-275.0;0.0),(275.0;0.0),0.0196,0.0167,0,1,0
