sceneName,sceneVersion,sceneStart,sceneEnd,sceneDuration,sceneTeoricDuration,stim0_position_xy,stim1_position_xy,stim0_contrastValue,stim1_contrastValue,correctValue,response,isCorrect
first,150,384.2887,385.1719,0.8832,0.8833334,(-275.0;0.0),(275.0;0.0),0.0117,0.0088,0,0,1
first,151,385.8721,386.8055,0.9334,0.9333334,(275.0;0.0),(-275.0;0.0),1.0,0.2,1,1,1
first,152,387.5055,388.7556,1.2501,1.2500001,(275.0;0.0),(-275.0;0.0),0.0177,0.0167,1,1,1
first,153,389.4557,390.5057,1.0500,1.0500001,(275.0;0.0),(-275.0;0.0),0.0177,0.0167,1,1,1
first,154,391.2057,392.9056,1.6999,1.7,(275.0;0.0),(-275.0;0.0),0.0529,0.05,1,1,1
first,155,393.6058,394.5394,0.9336,0.9333334,(-275.0;0.0),(275.0;0.0),0.0759,0.0088,0,0,1
first,156,395.2393,396.1892,0.9499,0.95000005,(275.0;0.0),(-275.0;0.0),0.3921,0.2,1,1,1
first,157,396.8894,397.8395,0.9501,0.95000005,(-275.0;0.0),(275.0;0.0),0.0582,0.05,0,1,0
first,158,398.5396,399.6727,1.1332,1.1333334,(275.0;0.0),(-275.0;0.0),0.001,0.0,1,1,1
first,159,400.3729,401.3063,0.9334,0.9333334,(275.0;0.0),(-275.0;0.0),0.4582,0.45,1,1,1
first,160,402.0063,403.1897,1.1834,1.1833334,(-275.0;0.0),(275.0;0.0),0.0029,0.0,0,1,0
first,161,403.8898,405.6570,1.7672,1.7666668,(-275.0;0.0),(275.0;0.0),0.6421,0.45,0,0,1
first,162,406.3566,407.3898,1.0332,1.0333334,(-275.0;0.0),(275.0;0.0),0.3921,0.2,0,0,1
first,163,408.0900,409.1234,1.0334,1.0333334,(-275.0;0.0),(275.0;0.0),0.2235,0.2,0,0,1
first,164,409.8235,410.8235,1.0000,1.0,(275.0;0.0),(-275.0;0.0),0.0759,0.0088,1,1,1
first,165,411.5235,412.4737,0.9501,0.95000005,(-275.0;0.0),(275.0;0.0),0.4582,0.45,0,1,0
